SegmentID,X1,Y1,X2,Y2,X3,Y3
1,109.106307302000000,11.809865127300000,109.106231187000010,11.809917736099999,109.106269244999990,11.809891431700001
2,109.105962643000000,11.809534767600001,109.106034557000000,11.809475793500001,109.105998600000010,11.809505280500000
3,109.106220083000000,11.809734855200000,109.106144732000000,11.809787302000000,109.106182408000000,11.809761078599999
4,109.106220083000000,11.809734855200000,109.106307302000000,11.809865127300000,109.106263692000000,11.809799991300000
5,109.106034557000000,11.809475793500001,109.106220083000000,11.809734855200000,109.106127320000000,11.809605324300000
6,109.106231187000010,11.809917736099999,109.106144732000000,11.809787302000000,109.106187960000000,11.809852519000000
7,109.106144732000000,11.809787302000000,109.105962643000000,11.809534767600001,109.106053688000000,11.809661034800000
8,109.109214213000000,11.818824277599999,109.109711967000000,11.823225539099999,109.109585194000000,11.821009414100001
9,109.108936224999990,11.817378499200000,109.109214213000000,11.818824277599999,109.108998169000000,11.818114642499999
10,109.108942214000000,11.817172140500000,109.108936224999990,11.817378499200000,109.108939220000000,11.817275319800000
11,109.108941603000010,11.816967247899999,109.108942214000000,11.817172140500000,109.108941909000000,11.817069694200001
12,109.108753452000000,11.815896857000000,109.108941603000010,11.816967247899999,109.108912536000010,11.816419841400000
13,109.109624503000010,11.823231242800000,109.109346294000010,11.819742131600000,109.109530380000000,11.821482494500000
14,109.109346294000010,11.819742131600000,109.109024647000000,11.818486071300001,109.109210191000000,11.819107755099999
15,109.109024647000000,11.818486071300001,109.108952288000000,11.818252297900001,109.108988468000010,11.818369184600000
16,109.108952288000000,11.818252297900001,109.108857145000000,11.817165767500001,109.108852815000010,11.817714146600000
17,109.108857145000000,11.817165767500001,109.108857145000000,11.816868393900000,109.108857145000000,11.817017080699999
18,109.108857145000000,11.816868393900000,109.108791104000010,11.816234138500000,109.108835771000000,11.816549775500000
19,109.108791104000010,11.816234138500000,109.108662014000000,11.815920870999999,109.108730329000000,11.816075930700000
20,109.108857145000000,11.817165767500001,109.108942214000000,11.817172140500000,109.108899679999990,11.817168954000000
21,109.109624503000010,11.823231242800000,109.109711967000000,11.823225539099999,109.109668235000000,11.823228391000001
22,109.109718930000000,11.823354139699999,109.109630556000000,11.823359025100000,109.109674743000000,11.823356582400001
23,109.109711967000000,11.823225539099999,109.109718930000000,11.823354139699999,109.109715533000000,11.823289834600001
24,109.109630556000000,11.823359025100000,109.109624503000010,11.823231242800000,109.109627528999990,11.823295134000000
25,109.105404886000000,11.860658593400000,109.105320029000000,11.860646295400000,109.105362457000000,11.860652444399999
